Unique ID,Task Name,Start,Finish,Duration (mins),% Complete,Predecessors,Summary,Baseline Start,Baseline Finish
5001,Project Delivery Programme,2026-01-05,2026-07-03,62400,,,1,2026-01-05,2026-07-03
5002,Enabling Works,2026-01-05,2026-01-30,9600,,,1,2026-01-05,2026-01-30
5003,Site Mobilisation,2026-01-05,2026-01-09,2400,100,,0,2026-01-05,2026-01-09
5004,Temporary Utilities Setup,2026-01-06,2026-01-19,4800,75,5003SS,0,2026-01-06,2026-01-15
5005,Site Hoarding Installation,2026-01-12,2026-01-20,3360,100,5003FS,0,2026-01-12,2026-01-20
5006,Utility Diversion Works,2026-01-13,2026-01-22,3840,65,5004FF,0,2026-01-13,2026-01-22
5007,Substructure,2026-01-19,2026-03-20,21600,,,1,2026-01-19,2026-03-20
5008,Bulk Excavation,2026-01-21,2026-02-02,4320,55,"5005FS,5006FS",0,2026-01-21,2026-02-02
5009,Pile Cap Construction,2026-02-03,2026-02-11,3360,60,5008FS,0,2026-02-03,2026-02-11
5010,Ground Beam Pour,2026-02-12,2026-02-24,4320,35,5009FS,0,2026-02-12,2026-02-19
5011,Basement Slab Pour,2026-02-25,2026-03-09,4320,18,5010FS,0,2026-02-20,2026-03-02
5012,Superstructure,2026-03-02,2026-04-24,19200,,,1,2026-03-02,2026-04-24
5013,Ground Floor Frame Erection,2026-03-03,2026-03-13,4320,35,5011SS,0,2026-03-03,2026-03-13
5014,Level 1 Frame Erection,2026-03-17,2026-03-31,5280,10,5013FS,0,2026-03-16,2026-03-26
5015,Prefabricated Riser Install,2026-03-24,2026-04-02,3840,0,5014SS,0,2026-03-24,2026-04-02
5016,Roof Steel Installation,2026-03-30,2026-04-10,4800,10,5013FS,0,2026-03-30,2026-04-10
5017,Services and Fit-Out,2026-03-09,2026-05-22,26400,,,1,2026-03-09,2026-05-22
5018,Mechanical First Fix,2026-03-12,2026-04-01,7200,18,5013SS,0,2026-03-12,2026-04-01
5019,Electrical First Fix,2026-03-12,2026-04-03,8160,28,5013SS,0,2026-03-12,2026-04-03
5020,Fire Protection First Fix,2026-03-24,2026-04-15,8160,8,5014SS,0,2026-03-20,2026-04-08
5021,Internal Partitioning,2026-04-06,2026-04-17,4800,5,"5018FS,5019FS",0,2026-04-06,2026-04-17
5022,Drywall and Plaster,2026-04-20,2026-05-01,4800,0,5021FS,0,2026-04-20,2026-05-01
5023,Ceiling and Finishes,2026-05-04,2026-05-14,4320,0,5022FS,0,2026-05-04,2026-05-14
5024,External Works and Handover,2026-03-03,2026-07-03,42720,,,1,2026-03-03,2026-07-03
5025,Facade Installation,2026-04-06,2026-05-01,9600,0,5016SS,0,2026-04-01,2026-04-24
5026,External Drainage,2026-03-03,2026-03-20,6720,55,5011SS,0,2026-03-03,2026-03-20
5027,Landscaping Works,2026-04-13,2026-05-08,9600,20,5026FS,0,2026-04-13,2026-05-08
5028,Lift Installation,2026-04-13,2026-05-06,8640,0,"5016FS,5019SF",0,2026-04-13,2026-05-06
5029,Commissioning and Testing,2026-06-01,2026-06-26,9600,0,"5028FS,5020FF,5023FS,5025FS",0,2026-05-15,2026-06-05
5030,Digital O&M Handover,2026-06-29,2026-07-03,2400,0,5029FS,0,2026-06-29,2026-07-03
